name,class,logP,logD,Vd_Lkg,PPB,MW,ILE_score,ILE_prob,ILE_kategori,AD,kalibrasyonda,ref_etiket,klinik_not
diltiazem,Kardiyak,3.368500000000002,1.6302977,-2.4178135,70.798615,414.52700000000016,54.3,72.9,Yüksek,ok,evet,responder,
ivabradine,Kardiyak,3.3100000000000023,1.616869,1.0009575,60.17522,468.59400000000034,53.9,72.6,Yüksek,ok,hayır,,
bupropion,Antidepresan,3.2993000000000023,1.5804462,9.174576,56.767883,239.746,32.4,71.5,Yüksek,ok,evet,responder,
escitalopram,Antidepresan,3.812980000000003,1.5317243,5.1335144,62.214897,324.39900000000006,36.5,70.1,Yüksek,ok,hayır,,
citalopram,Antidepresan,3.812980000000003,1.5256836,5.3264933,62.088917,324.39900000000006,36.1,70.0,Orta,ok,hayır,,
losartan,Kardiyak,4.2668000000000035,1.5225568,-2.5851166,99.6523,422.9200000000001,50.8,69.9,Orta,ok,evet,non-responder,Yüksek-bağlı asit
lamotrigine,Antikonvülzan,2.0098,1.5054103,4.591685,74.01495,256.09599999999995,36.9,69.4,Orta,ok,hayır,,
BZ (QNB),KBRN-inkapasitan,2.5599,1.4719254,-0.4377644,61.964916,337.41900000000004,49.1,68.4,Orta,ok,hayır,,
dextromethorphan,Diğer,3.3834000000000026,1.4690697,1.2858009,59.320854,271.404,46.8,68.3,Orta,ok,evet,responder,
dichloromethane,Halojenli HC,1.4215,1.4699042,4.9793873,39.000496,84.93299999999999,35.3,68.3,Orta,domain-kenarı (tahmin belirsiz),hayır,,
fluvoxamine,Antidepresan,3.201500000000001,1.4086189,10.174823,74.926384,318.339,28.2,66.4,Orta,ok,hayır,,
mepivacaine,Lokal anestezik,2.7262400000000007,1.3769007,-1.1025807,47.749367,246.35399999999996,45.9,65.4,Orta,ok,evet,responder,
glyburide,Antidiabetik,3.641700000000003,1.3242263,-4.4386864,99.47438,494.0130000000003,44.1,63.8,Orta,ok,evet,non-responder,Dekstroz/oktreotid
tapentadol,Analjezik/Opioid,3.0835000000000017,1.3234228,4.776464,48.987965,221.34399999999997,32.1,63.7,Orta,ok,hayır,,Nalokson; ILE deneysel
dichlorvos,Organofosfat,2.6804000000000006,1.3232634,3.3021526,48.37975,220.976,35.0,63.7,Orta,ok,hayır,,Atropin+pralidoksim
ergometrine,Bitkisel alkaloid - diğer,1.5346000000000002,1.3038907,7.9232874,59.541466,325.4120000000001,27.8,63.1,Orta,ok,hayır,,
clonidine,Kardiyak,2.3644999999999996,1.2940986,2.9441135,63.407795,230.09799999999998,35.0,62.8,Orta,ok,hayır,,
