name,logP,logD,Vd,PPB,MW,theory_score,ile_prob,category,ad_flag,rank
Acetophenazine,3.492,2.612,9.799,90.96,411.6,52.5,91.3,High,ok,768
Tenofovir disoproxil,3.036,2.602,5.493,82.665,519.4,61.1,91.2,High,ok,769
Xanomeline,3.216,2.602,4.573,83.709,281.4,63.8,91.2,High,ok,770
Berberine,3.096,2.597,8.52,89.47,336.4,54.4,91.2,High,ok,771
Diazepam,3.154,2.597,1.927,90.787,284.7,76.7,91.2,High,ok,772
Empagliflozin,1.613,2.598,8.224,90.49,450.9,54.9,91.2,High,ok,773
Arachidonic Acid,6.217,2.586,-0.354,99.836,304.5,86.2,91.1,High,ok,774
Vamorolone,2.753,2.592,1.135,87.39,356.5,84.5,91.1,High,ok,775
Bromodiphenhydramine,4.117,2.595,12.434,83.159,334.3,51.9,91.1,High,ok,776
Crizotinib,5.038,2.587,16.231,94.511,450.3,51.7,91.1,High,ok,777
Dihydroergotamine,2.081,2.587,3.672,89.232,583.7,66.7,91.1,High,ok,778
Fentanyl,4.137,2.588,-0.199,76.637,336.5,86.3,91.1,High,ok,779
Azelastine,4.298,2.594,8.537,88.933,381.9,54.3,91.1,High,ok,780
Zafirlukast,5.696,2.583,-8.338,104.775,575.7,86.1,91.0,High,ok,781
Lorpiprazole,3.559,2.579,5.433,80.86,405.5,60.7,91.0,High,ok,782
Anethole,2.728,2.584,0.908,74.431,148.2,86.1,91.0,High,ok,783
Linoleic acid,5.885,2.581,0.148,99.319,280.5,86.0,91.0,High,ok,784
Fesoterodine,5.381,2.573,13.722,81.206,411.6,51.5,90.9,High,ok,785
Mycophenolate mofetil,2.524,2.57,5.497,93.941,433.5,60.3,90.9,High,ok,786
Iodine,1.771,2.574,2.796,63.519,253.8,70.5,90.9,High,ok,787
Indium In-111 chloride,1.688,2.566,12.041,67.742,217.3,51.3,90.8,High,ok,788
Aluminum chlorohydrate,-5.466,2.568,8.585,94.871,18.0,53.6,90.8,High,domain-edge (prediction unreliable),789
Dordaviprone,3.169,2.563,-2.463,86.844,386.5,85.4,90.8,High,ok,790
Propylparaben,1.959,2.552,0.054,76.203,180.2,85.1,90.7,High,ok,791
Telmisartan,7.264,2.557,-7.599,102.43,514.6,85.2,90.7,High,ok,792
Valdecoxib,2.964,2.556,-2.831,94.608,314.4,85.2,90.7,High,ok,793
Dienogest,3.837,2.555,-1.281,83.863,311.4,85.2,90.7,High,ok,794
Pasireotide,3.369,2.559,-1.273,101.968,1047.2,85.3,90.7,High,domain-edge (prediction unreliable),795
Eribulin,3.438,2.544,9.392,83.824,729.9,51.8,90.6,High,domain-edge (prediction unreliable),796
Belzutifan,3.289,2.547,-0.631,89.399,383.3,84.9,90.6,High,ok,797
Ramelteon,2.568,2.545,2.29,79.263,259.3,72.6,90.6,High,ok,798
Dosulepin,4.676,2.549,5.931,82.873,295.5,58.7,90.6,High,ok,799
Hydrocortisone butyrate,3.133,2.55,0.126,89.35,432.6,85.0,90.6,High,ok,800
Butamben,2.226,2.551,2.967,78.93,193.2,69.0,90.6,High,ok,801
Idebenone,3.462,2.535,4.447,88.424,338.4,62.6,90.5,High,ok,802
Imipramine,3.875,2.542,3.858,85.543,280.4,64.9,90.5,High,ok,803
Tadalafil,2.211,2.535,-0.887,96.468,389.4,84.5,90.5,High,ok,804
Repotrectinib,2.552,2.539,7.221,88.331,355.4,55.6,90.5,High,ok,805
Warfarin,3.61,2.529,-0.668,94.266,308.3,84.3,90.4,High,ok,806
Iodoform,2.575,2.528,18.186,73.963,393.7,50.6,90.4,High,ok,807
Artenimol,2.187,2.527,4.683,75.155,284.4,61.6,90.4,High,ok,808
Nirogacestat,4.786,2.521,11.687,80.031,489.7,50.4,90.3,High,ok,809
Tasimelteon,2.251,2.52,0.904,75.725,245.3,84.0,90.3,High,ok,810
Diloxanide furoate,3.265,2.52,-0.568,86.013,328.2,84.0,90.3,High,ok,811
Oxandrolone,3.543,2.52,1.154,85.098,306.4,81.9,90.3,High,ok,812
Difluocortolone,2.729,2.523,0.62,81.446,394.5,84.1,90.3,High,ok,813
Dimetacrine,4.416,2.526,5.419,80.155,294.4,59.5,90.3,High,ok,814
Tolterodine,5.341,2.512,11.635,78.493,325.5,50.2,90.2,High,ok,815
Dyclonine,3.924,2.512,6.722,81.379,289.4,56.0,90.2,High,ok,816
Buprenorphine,4.414,2.516,8.671,83.198,467.7,52.4,90.2,High,ok,817
Pipotiazine,4.024,2.512,8.525,90.346,475.7,52.6,90.2,High,ok,818
Agomelatine,2.527,2.512,-2.989,84.11,243.3,83.7,90.2,High,ok,819
Alverine,4.574,2.502,12.523,78.596,281.4,50.0,90.1,High,ok,820
Diiodohydroxyquinoline,3.15,2.505,13.752,90.629,397.0,50.1,90.1,High,ok,821
Troleandomycin,3.621,2.505,5.927,81.983,814.0,57.7,90.1,High,domain-edge (prediction unreliable),822
Doxazosin,1.718,2.502,-1.685,93.797,451.5,83.4,90.1,High,ok,823
